image_name,local_path,url,title,category,yolo_label,search_type
1.jpg,dataset_images/1.jpg,,,misc,product,product
10.jpg,dataset_images/10.jpg,,,misc,cell phone,electronics
100.jpg,dataset_images/100.jpg,,,misc,product,product
101.jpg,dataset_images/101.jpg,,,misc,product,product
102.jpg,dataset_images/102.jpg,,,misc,product,product
103.jpg,dataset_images/103.jpg,,,misc,product,product
104.jpg,dataset_images/104.jpg,,,misc,product,product
105.jpg,dataset_images/105.jpg,,,misc,product,product
106.jpg,dataset_images/106.jpg,,,misc,product,product
107.jpg,dataset_images/107.jpg,,,misc,product,product
108.jpg,dataset_images/108.jpg,,,misc,product,product
109.jpg,dataset_images/109.jpg,,,misc,product,product
11.jpg,dataset_images/11.jpg,,,misc,product,product
110.jpg,dataset_images/110.jpg,,,misc,remote,electronics
111.jpg,dataset_images/111.jpg,,,misc,product,product
112.jpg,dataset_images/112.jpg,,,misc,remote,electronics
113.jpg,dataset_images/113.jpg,,,misc,cell phone,electronics
114.jpg,dataset_images/114.jpg,,,misc,remote,electronics
115.jpg,dataset_images/115.jpg,,,misc,product,product
116.jpg,dataset_images/116.jpg,,,misc,remote,electronics
117.jpg,dataset_images/117.jpg,,,misc,product,product
118.jpg,dataset_images/118.jpg,,,misc,product,product
119.jpg,dataset_images/119.jpg,,,misc,product,product
12.jpg,dataset_images/12.jpg,,,misc,product,product
120jpg.jpg,dataset_images/120jpg.jpg,,,misc,product,product
121.jpg,dataset_images/121.jpg,,,misc,product,product
122.jpg,dataset_images/122.jpg,,,misc,laptop,electronics
123.jpg,dataset_images/123.jpg,,,misc,product,product
124.jpg,dataset_images/124.jpg,,,misc,product,product
125.jpg,dataset_images/125.jpg,,,misc,product,product
126.jpg,dataset_images/126.jpg,,,misc,cell phone,electronics
127.jpg,dataset_images/127.jpg,,,misc,product,product
128.jpg,dataset_images/128.jpg,,,misc,product,product
129.jpg,dataset_images/129.jpg,,,misc,product,product
13.jpg,dataset_images/13.jpg,,,misc,product,product
130.jpg,dataset_images/130.jpg,,,misc,product,product
131.jpg,dataset_images/131.jpg,,,misc,mouse,electronics
132.jpg,dataset_images/132.jpg,,,misc,product,product
133.jpg,dataset_images/133.jpg,,,misc,product,product
134.jpg,dataset_images/134.jpg,,,misc,tv,electronics
135.jpg,dataset_images/135.jpg,,,misc,laptop,electronics
136.jpg,dataset_images/136.jpg,,,misc,product,product
137.jpg,dataset_images/137.jpg,,,misc,product,product
138.jpg,dataset_images/138.jpg,,,misc,product,product
139.jpg,dataset_images/139.jpg,,,misc,product,product
14.jpg,dataset_images/14.jpg,,,misc,product,product
140.jpg,dataset_images/140.jpg,,,misc,product,product
141.jpg,dataset_images/141.jpg,,,misc,laptop,electronics
142.jpg,dataset_images/142.jpg,,,misc,keyboard,electronics
143.jpg,dataset_images/143.jpg,,,misc,laptop,electronics
144.jpg,dataset_images/144.jpg,,,misc,keyboard,electronics
145.jpg,dataset_images/145.jpg,,,misc,laptop,electronics
146.jpg,dataset_images/146.jpg,,,misc,laptop,electronics
147.jpg,dataset_images/147.jpg,,,misc,laptop,electronics
148.jpg,dataset_images/148.jpg,,,misc,laptop,electronics
149.jpg,dataset_images/149.jpg,,,misc,laptop,electronics
15.jpg,dataset_images/15.jpg,,,misc,product,product
150.jpg,dataset_images/150.jpg,,,misc,laptop,electronics
151.jpg,dataset_images/151.jpg,,,misc,keyboard,electronics
152.jpg,dataset_images/152.jpg,,,misc,keyboard,electronics
153.jpg,dataset_images/153.jpg,,,misc,keyboard,electronics
154.jpg,dataset_images/154.jpg,,,misc,product,product
155.jpg,dataset_images/155.jpg,,,misc,product,product
156.jpg,dataset_images/156.jpg,,,misc,product,product
157.jpg,dataset_images/157.jpg,,,misc,product,product
158.jpg,dataset_images/158.jpg,,,misc,product,product
159.jpg,dataset_images/159.jpg,,,misc,product,product
16.jpg,dataset_images/16.jpg,,,misc,product,product
160.jpg,dataset_images/160.jpg,,,misc,product,product
161.jpg,dataset_images/161.jpg,,,misc,product,product
162.jpg,dataset_images/162.jpg,,,misc,laptop,electronics
163.jpg,dataset_images/163.jpg,,,misc,cell phone,electronics
164.jpg,dataset_images/164.jpg,,,misc,remote,electronics
165.jpg,dataset_images/165.jpg,,,misc,remote,electronics
166.jpg,dataset_images/166.jpg,,,misc,remote,electronics
167.jpg,dataset_images/167.jpg,,,misc,keyboard,electronics
168.jpg,dataset_images/168.jpg,,,misc,remote,electronics
169.jpg,dataset_images/169.jpg,,,misc,product,product
17.jpg,dataset_images/17.jpg,,,misc,product,product
170.jpg,dataset_images/170.jpg,,,misc,product,product
171.jpg,dataset_images/171.jpg,,,misc,product,product
172.jpg,dataset_images/172.jpg,,,misc,cell phone,electronics
173.jpg,dataset_images/173.jpg,,,misc,tv,electronics
174.jpg,dataset_images/174.jpg,,,misc,product,product
175.jpg,dataset_images/175.jpg,,,misc,product,product
176.jpg,dataset_images/176.jpg,,,misc,product,product
177.jpg,dataset_images/177.jpg,,,misc,product,product
178.jpg,dataset_images/178.jpg,,,misc,mouse,electronics
179.jpg,dataset_images/179.jpg,,,misc,product,product
18.jpg,dataset_images/18.jpg,,,misc,product,product
180.jpg,dataset_images/180.jpg,,,misc,cell phone,electronics
181.jpg,dataset_images/181.jpg,,,misc,product,product
182.jpg,dataset_images/182.jpg,,,misc,product,product
183.jpg,dataset_images/183.jpg,,,misc,product,product
184.jpg,dataset_images/184.jpg,,,misc,product,product
185.jpg,dataset_images/185.jpg,,,misc,product,product
186.jpg,dataset_images/186.jpg,,,misc,product,product
187.jpg,dataset_images/187.jpg,,,misc,product,product
188.jpg,dataset_images/188.jpg,,,misc,product,product
189.jpg,dataset_images/189.jpg,,,misc,product,product
19.jpg,dataset_images/19.jpg,,,misc,product,product
190.jpg,dataset_images/190.jpg,,,misc,product,product
191.jpg,dataset_images/191.jpg,,,misc,product,product
192.jpg,dataset_images/192.jpg,,,misc,product,product
193.jpg,dataset_images/193.jpg,,,misc,product,product
194.jpg,dataset_images/194.jpg,,,misc,product,product
195.jpg,dataset_images/195.jpg,,,misc,product,product
196.jpg,dataset_images/196.jpg,,,misc,product,product
197.jpg,dataset_images/197.jpg,,,misc,product,product
198.jpg,dataset_images/198.jpg,,,misc,product,product
199.jpg,dataset_images/199.jpg,,,misc,product,product
2.jpg,dataset_images/2.jpg,,,misc,product,product
20.jpg,dataset_images/20.jpg,,,misc,product,product
200.jpg,dataset_images/200.jpg,,,misc,product,product
201.jpg,dataset_images/201.jpg,,,misc,product,product
202.jpg,dataset_images/202.jpg,,,misc,product,product
203.jpg,dataset_images/203.jpg,,,misc,product,product
204.jpg,dataset_images/204.jpg,,,misc,product,product
205.jpg,dataset_images/205.jpg,,,misc,product,product
206.jpg,dataset_images/206.jpg,,,misc,product,product
207.jpg,dataset_images/207.jpg,,,misc,product,product
208.jpg,dataset_images/208.jpg,,,misc,product,product
209.jpg,dataset_images/209.jpg,,,misc,product,product
21.jpg,dataset_images/21.jpg,,,misc,product,product
210.jpg,dataset_images/210.jpg,,,misc,product,product
211.jpg,dataset_images/211.jpg,,,misc,product,product
212.jpg,dataset_images/212.jpg,,,misc,product,product
213.jpg,dataset_images/213.jpg,,,misc,product,product
214.jpg,dataset_images/214.jpg,,,misc,product,product
215.jpg,dataset_images/215.jpg,,,misc,product,product
216.jpg,dataset_images/216.jpg,,,misc,product,product
217.jpg,dataset_images/217.jpg,,,misc,product,product
218.jpg,dataset_images/218.jpg,,,misc,product,product
219.jpg,dataset_images/219.jpg,,,misc,product,product
22.jpg,dataset_images/22.jpg,,,misc,tv,electronics
220.jpg,dataset_images/220.jpg,,,misc,product,product
221.jpg,dataset_images/221.jpg,,,misc,product,product
222.jpg,dataset_images/222.jpg,,,misc,product,product
223.jpg,dataset_images/223.jpg,,,misc,product,product
224.jpg,dataset_images/224.jpg,,,misc,product,product
225.jpg,dataset_images/225.jpg,,,misc,product,product
226.jpg,dataset_images/226.jpg,,,misc,product,product
227.jpg,dataset_images/227.jpg,,,misc,product,product
228.jpg,dataset_images/228.jpg,,,misc,product,product
229.jpg,dataset_images/229.jpg,,,misc,product,product
23.jpg,dataset_images/23.jpg,,,misc,product,product
230.jpg,dataset_images/230.jpg,,,misc,product,product
231.jpg,dataset_images/231.jpg,,,misc,product,product
232.jpg,dataset_images/232.jpg,,,misc,product,product
233.jpg,dataset_images/233.jpg,,,misc,product,product
234.jpg,dataset_images/234.jpg,,,misc,product,product
235.jpg,dataset_images/235.jpg,,,misc,product,product
236.jpg,dataset_images/236.jpg,,,misc,product,product
237.jpg,dataset_images/237.jpg,,,misc,product,product
238.jpg,dataset_images/238.jpg,,,misc,product,product
239.jpg,dataset_images/239.jpg,,,misc,product,product
24.jpg,dataset_images/24.jpg,,,misc,product,product
240.jpg,dataset_images/240.jpg,,,misc,product,product
241.jpg,dataset_images/241.jpg,,,misc,product,product
242.jpg,dataset_images/242.jpg,,,misc,product,product
243.jpg,dataset_images/243.jpg,,,misc,product,product
244.jpg,dataset_images/244.jpg,,,misc,product,product
245.jpg,dataset_images/245.jpg,,,misc,product,product
246.jpg,dataset_images/246.jpg,,,misc,product,product
247.jpg,dataset_images/247.jpg,,,misc,product,product
248.jpg,dataset_images/248.jpg,,,misc,product,product
249.jpg,dataset_images/249.jpg,,,misc,product,product
25.jpg,dataset_images/25.jpg,,,misc,product,product
250.jpg,dataset_images/250.jpg,,,misc,product,product
251.jpg,dataset_images/251.jpg,,,misc,product,product
252.jpg,dataset_images/252.jpg,,,misc,product,product
253.jpg,dataset_images/253.jpg,,,misc,product,product
254.jpg,dataset_images/254.jpg,,,misc,product,product
255.jpg,dataset_images/255.jpg,,,misc,product,product
256.jpg,dataset_images/256.jpg,,,misc,product,product
257.jpg,dataset_images/257.jpg,,,misc,product,product
258.jpg,dataset_images/258.jpg,,,misc,product,product
259.jpg,dataset_images/259.jpg,,,misc,product,product
26.jpg,dataset_images/26.jpg,,,misc,product,product
260.jpg,dataset_images/260.jpg,,,misc,product,product
261.jpg,dataset_images/261.jpg,,,misc,product,product
262.jpg,dataset_images/262.jpg,,,misc,product,product
263.jpg,dataset_images/263.jpg,,,misc,product,product
264.jpg,dataset_images/264.jpg,,,misc,product,product
265.jpg,dataset_images/265.jpg,,,misc,product,product
266.jpg,dataset_images/266.jpg,,,misc,product,product
267.jpg,dataset_images/267.jpg,,,misc,product,product
268.jpg,dataset_images/268.jpg,,,misc,product,product
269.jpg,dataset_images/269.jpg,,,misc,product,product
27.jpg,dataset_images/27.jpg,,,misc,product,product
270.jpg,dataset_images/270.jpg,,,misc,product,product
271.jpg,dataset_images/271.jpg,,,misc,product,product
272.jpg,dataset_images/272.jpg,,,misc,product,product
273.jpg,dataset_images/273.jpg,,,misc,product,product
274.jpg,dataset_images/274.jpg,,,misc,product,product
275.jpg,dataset_images/275.jpg,,,misc,product,product
276.jpg,dataset_images/276.jpg,,,misc,product,product
277.jpg,dataset_images/277.jpg,,,misc,product,product
278.jpg,dataset_images/278.jpg,,,misc,product,product
279.jpg,dataset_images/279.jpg,,,misc,product,product
28.jpg,dataset_images/28.jpg,,,misc,product,product
280.jpg,dataset_images/280.jpg,,,misc,product,product
281.jpg,dataset_images/281.jpg,,,misc,product,product
282.jpg,dataset_images/282.jpg,,,misc,product,product
283.jpg,dataset_images/283.jpg,,,misc,product,product
284.jpg,dataset_images/284.jpg,,,misc,product,product
285.jpg,dataset_images/285.jpg,,,misc,product,product
286.jpg,dataset_images/286.jpg,,,misc,product,product
287.jpg,dataset_images/287.jpg,,,misc,product,product
288.jpg,dataset_images/288.jpg,,,misc,product,product
289.jpg,dataset_images/289.jpg,,,misc,product,product
29.jpg,dataset_images/29.jpg,,,misc,product,product
290.jpg,dataset_images/290.jpg,,,misc,product,product
291.jpg,dataset_images/291.jpg,,,misc,cell phone,electronics
292.jpg,dataset_images/292.jpg,,,misc,product,product
293.jpg,dataset_images/293.jpg,,,misc,product,product
294.jpg,dataset_images/294.jpg,,,misc,product,product
295.jpg,dataset_images/295.jpg,,,misc,product,product
296.jpg,dataset_images/296.jpg,,,misc,product,product
297.jpg,dataset_images/297.jpg,,,misc,product,product
298.jpg,dataset_images/298.jpg,,,misc,product,product
299.jpg,dataset_images/299.jpg,,,misc,product,product
3.jpg,dataset_images/3.jpg,,,misc,product,product
30.jpg,dataset_images/30.jpg,,,misc,product,product
300.jpg,dataset_images/300.jpg,,,misc,product,product
301.jpg,dataset_images/301.jpg,,,misc,product,product
302.jpg,dataset_images/302.jpg,,,misc,product,product
303.jpg,dataset_images/303.jpg,,,misc,product,product
304.jpg,dataset_images/304.jpg,,,misc,tv,electronics
305.jpg,dataset_images/305.jpg,,,misc,product,product
306.jpg,dataset_images/306.jpg,,,misc,product,product
307.jpg,dataset_images/307.jpg,,,misc,product,product
